t_h,xmeas_7,xmeas_9,xmeas_10,xmeas_23,xmeas_25,xmv_6
0.02,2688.985994480483,120.24799898676028,0.32318344186374953,32.14582743911223,26.15461426806254,38.458599448048304
0.023,2689.129230264882,120.20698227116368,0.32375641033253677,32.14582743911223,26.15461426806254,38.47292302648822
0.026,2689.9828657013495,120.18145060962877,0.3201311351977567,32.14582743911223,26.15461426806254,38.55828657013495
0.028,2689.21776365882,120.16550522884789,0.3239647202605934,32.14582743911223,26.15461426806254,38.48177636588199
0.031,2689.639529403293,120.14186817737345,0.32296699635935006,32.14582743911223,26.15461426806254,38.52395294032932
0.034,2690.4070150732546,120.14108847691284,0.3225146200354092,32.14582743911223,26.15461426806254,38.60070150732546
0.037,2691.006749747792,120.12600937672913,0.3235312439169264,32.14582743911223,26.15461426806254,38.66067497477921
0.04,2691.197605553867,120.10921763379075,0.32410453880146234,32.14582743911223,26.15461426806254,38.679760555386714
0.043,2690.775472702601,120.11346568170165,0.32536343070643703,32.14582743911223,26.15461426806254,38.637547270260086
0.045,2691.430494879647,120.08270122715439,0.32223770694879067,32.14582743911223,26.15461426806254,38.70304948796471
0.048,2691.6804881375665,120.0748674034889,0.32667446065941086,32.14582743911223,26.15461426806254,38.72804881375665
0.051,2691.5535239242104,120.06545844675244,0.3267428956155381,32.14582743911223,26.15461426806254,38.71535239242104
0.054,2692.0125161650276,120.06715888707004,0.3244132619415173,32.14582743911223,26.15461426806254,38.76125161650276
0.057,2692.5616129350606,120.08274568549484,0.3289637031874372,32.14582743911223,26.15461426806254,38.816161293506056
0.06,2692.675592628018,120.06493361534567,0.3262175338111255,32.14582743911223,26.15461426806254,38.8275592628018
0.062,2692.8541729251106,120.05476665866307,0.3257729712658227,32.14582743911223,26.15461426806254,38.84541729251106
0.065,2692.93767755256,120.07080041835175,0.3260025214926378,32.14582743911223,26.15461426806254,38.85376775525602
0.068,2693.109512537382,120.06073638356466,0.3252592006690302,32.14582743911223,26.15461426806254,38.87095125373823
0.071,2694.041948381541,120.06725384296591,0.32791855379288,32.14582743911223,26.15461426806254,38.964194838154086
0.074,2694.03102155982,120.06309118489104,0.32722156428551236,32.14582743911223,26.15461426806254,38.963102155982014
0.077,2694.3766833618542,120.07110410405707,0.3290413316982944,32.14582743911223,26.15461426806254,38.99766833618543
0.079,2694.265123922507,120.0767452579203,0.32936709618462734,32.14582743911223,26.15461426806254,38.9865123922507
0.082,2694.472941921221,120.08442652087773,0.3315595430815559,32.14582743911223,26.15461426806254,39.00729419212208
0.085,2694.6452911818797,120.10158729482113,0.3277774589365544,32.14582743911223,26.15461426806254,39.02452911818797
