t_h,XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),XMV(12),deriv_norm,YY[0],YY[1],YY[2],YY[3],YY[4],YY[5],YY[6],YY[7],YY[8],YY[9],YY[27],YY[28],YY[29],YY[30],YY[31],YY[32],YY[33],YY[34]
0.001000,0.131774,2302.733938,2833.934269,6.206901,27.101453,42.188914,2694.604731,71.509525,120.437076,0.327937,80.342188,49.941941,2623.411409,24.327539,50.011281,3089.182593,23.452217,65.977416,228.651956,341.611669,94.599275,77.296984,63.052630,53.979707,24.643558,61.301921,22.210000,41.520473,38.041941,46.511281,47.445735,41.105813,18.113491,50.000000,2.283949e4,1.067819e1,4.666327e0,7.667657e0,3.965485e-1,2.274094e1,2.944050e0,1.484667e2,1.530270e2,2.698365e0,6.333266e1,1.071089e2,3.080264e1,8.714590e1,2.287298e1,6.186037e1,5.777490e0,1.202007e1,5.608049e0
0.002000,0.192531,2849.415917,3463.647830,7.303563,27.376193,42.486236,2693.477681,72.307793,120.425565,0.335900,80.337371,52.200803,2622.284692,24.948300,49.270888,3085.130010,23.199046,65.996399,229.341959,342.140241,94.595803,77.283386,63.052630,53.979707,24.643558,61.301921,22.210000,41.407768,40.300803,45.770888,47.445735,41.105813,18.113491,50.000000,8.273122e3,1.067212e1,4.664706e0,7.662682e0,3.952856e-1,2.273703e1,2.943731e0,1.484651e2,1.530265e2,2.698205e0,6.331346e1,1.070061e2,3.081124e1,8.703951e1,2.280218e1,6.180902e1,5.778753e0,1.201834e1,5.607492e0
0.003000,0.218787,3151.605574,3885.521601,8.005222,27.772488,41.973626,2691.720352,71.176199,120.431747,0.341322,80.299210,52.530851,2620.548194,25.722316,51.739131,3083.790138,22.908750,66.024907,228.372195,341.845828,94.617044,77.276449,63.052630,53.979707,24.643558,61.301921,22.210000,41.232035,40.630851,48.239131,47.445735,41.105813,18.113491,50.000000,5.276358e3,1.066501e1,4.662525e0,7.657022e0,3.943958e-1,2.273175e1,2.943278e0,1.484617e2,1.530252e2,2.697896e0,6.329104e1,1.069525e2,3.082202e1,8.697911e1,2.275897e1,6.178564e1,5.780590e0,1.201905e1,5.607983e0
0.004000,0.232878,3329.835813,4063.611930,8.307205,27.374677,41.485830,2691.092619,72.402240,120.413687,0.345074,80.296517,49.836791,2619.572176,26.349375,49.313180,3083.052530,23.468197,66.050421,231.009092,341.987828,94.593150,77.289729,63.052630,53.979707,24.643558,61.301921,22.210000,41.169262,37.936791,45.813180,47.445735,41.105813,18.113491,50.000000,3.365109e3,1.065928e1,4.660519e0,7.652623e0,3.942094e-1,2.272677e1,2.942833e0,1.484570e2,1.530233e2,2.697502e0,6.327157e1,1.069244e2,3.083152e1,8.694452e1,2.273284e1,6.177701e1,5.782424e0,1.202042e1,5.608720e0
0.005000,0.240647,3456.938016,4252.270347,8.824951,27.134534,42.221799,2689.713668,71.408612,120.406629,0.342133,80.253610,51.972984,2618.327814,25.617207,49.316813,3082.458523,22.961603,66.042783,228.438517,341.596720,94.607560,77.311664,63.052630,53.979707,24.643558,61.301921,22.210000,41.031367,40.072984,45.816813,47.445735,41.105813,18.113491,50.000000,2.146169e3,1.065550e1,4.658961e0,7.649873e0,3.945611e-1,2.272274e1,2.942454e0,1.484519e2,1.530210e2,2.697072e0,6.325637e1,1.069100e2,3.083885e1,8.692480e1,2.271731e1,6.177428e1,5.783820e0,1.202176e1,5.609399e0
0.006000,0.245493,3555.383406,4336.175584,8.999758,27.149013,42.249147,2688.855782,71.117524,120.395166,0.345891,80.263252,48.786126,2617.779203,26.136381,51.100689,3081.752330,22.815060,66.041612,226.797850,341.865736,94.593710,77.320691,63.052630,53.979707,24.643558,61.301921,22.210000,40.945578,36.886126,47.600689,47.445735,41.105813,18.113491,50.000000,1.368765e3,1.065353e1,4.657896e0,7.648596e0,3.952181e-1,2.271980e1,2.942157e0,1.484467e2,1.530185e2,2.696636e0,6.324499e1,1.069032e2,3.084415e1,8.691399e1,2.270841e1,6.177448e1,5.784836e0,1.202287e1,5.609944e0
0.007000,0.248267,3566.484709,4408.735178,9.106734,26.879327,41.742481,2689.185732,71.451047,120.373482,0.344863,80.257477,50.115766,2617.317720,25.050890,49.002087,3082.005758,23.128206,66.046449,231.074973,341.360006,94.605038,77.285248,63.052630,53.979707,24.643558,61.301921,22.210000,40.978573,38.215766,45.502087,47.445735,41.105813,18.113491,50.000000,1.323468e3,1.065293e1,4.657240e0,7.648421e0,3.960025e-1,2.271782e1,2.941932e0,1.484416e2,1.530158e2,2.696211e0,6.323673e1,1.069006e2,3.084780e1,8.690858e1,2.270366e1,6.177523e1,5.785446e0,1.202371e1,5.610347e0
0.008000,0.249083,3605.713629,4424.168216,9.110138,27.201590,42.349314,2688.620894,71.830990,120.355267,0.342785,80.258871,50.812219,2616.711109,25.276126,51.353511,3081.889765,22.664346,66.065970,229.013613,341.256861,94.594983,77.303772,63.052630,53.979707,24.643558,61.301921,22.210000,40.922089,38.912219,47.853511,47.445735,41.105813,18.113491,50.000000,7.182728e2,1.065338e1,4.656921e0,7.649064e0,3.968089e-1,2.271667e1,2.941769e0,1.484368e2,1.530130e2,2.695804e0,6.323066e1,1.069006e2,3.085025e1,8.690662e1,2.270154e1,6.177570e1,5.785719e0,1.202432e1,5.610639e0
0.009000,0.250048,3622.816634,4486.109206,9.266956,27.366126,42.358860,2687.826352,72.179232,120.344133,0.343787,80.249875,48.708229,2616.272244,25.508267,47.518329,3081.963516,23.407275,66.029582,227.902548,341.710256,94.576980,77.284701,63.052630,53.979707,24.643558,61.301921,22.210000,40.842635,36.808229,44.018329,47.445735,41.105813,18.113491,50.000000,8.528308e2,1.065451e1,4.656831e0,7.650239e0,3.975824e-1,2.271615e1,2.941650e0,1.484323e2,1.530102e2,2.695415e0,6.322626e1,1.069021e2,3.085183e1,8.690680e1,2.270109e1,6.177689e1,5.785896e0,1.202479e1,5.610850e0
0.010000,0.250647,3637.164345,4497.268739,9.229292,26.840953,42.158926,2687.765860,71.917591,120.343537,0.345945,80.243361,50.651246,2617.274183,24.759807,50.832621,3081.550911,22.349605,66.045783,226.986704,341.689385,94.594468,77.306472,63.052630,53.979707,24.643558,61.301921,22.210000,40.836586,38.751246,47.332621,47.445735,41.105813,18.113491,50.000000,1.546544e3,1.065610e1,4.656899e0,7.651768e0,3.983033e-1,2.271614e1,2.941565e0,1.484280e2,1.530073e2,2.695044e0,6.322314e1,1.069044e2,3.085278e1,8.690833e1,2.270169e1,6.177756e1,5.785888e0,1.202512e1,5.610994e0
