t_h,XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),XMV(12),deriv_norm
0.001000,0.131774,2302.733938,2833.934269,6.206901,27.139101,42.250911,2704.471046,74.998909,120.399669,0.337092,80.100222,49.993904,2633.065701,25.159387,49.992920,3100.067125,22.946091,65.746487,230.203931,341.632654,94.599275,77.296984,0.126105,0.107959,0.049287,0.122604,22.210000,40.007105,38.093904,46.492920,47.445735,41.105813,18.113491,50.000000,2.283949e4
0.002000,0.074021,1490.833580,1791.664376,4.169003,27.649216,42.459387,2702.829959,75.796067,120.388148,0.333368,80.086644,52.239630,2631.283279,25.334848,49.266361,3093.874006,22.960065,65.782239,230.781238,342.325806,94.595803,77.283386,0.252211,0.215919,0.098574,0.245208,22.210000,39.842996,40.339630,45.766361,47.445735,41.105813,18.113491,50.000000,1.452068e4
0.003000,0.041256,963.297285,1192.408972,2.835241,28.843992,41.672856,2699.762972,74.660441,120.390345,0.333693,80.028872,52.554571,2628.131283,25.919073,51.727673,3086.221334,22.777483,65.858646,229.489568,342.560131,94.617044,77.276449,0.378316,0.323878,0.147861,0.367812,22.210000,39.536297,40.654571,48.227673,47.445735,41.105813,18.113491,50.000000,9.215194e3
0.004000,0.023146,615.006737,722.519403,1.778839,29.182898,40.906580,2696.236674,75.876956,120.361455,0.334268,79.981703,49.831674,2623.964643,26.445179,49.288532,3077.548108,23.380031,65.953380,231.661264,343.164063,94.593150,77.289729,0.504421,0.431838,0.197148,0.490415,22.210000,39.183667,37.931674,45.788532,47.445735,41.105813,18.113491,50.000000,6.002178e3
0.005000,0.013451,408.963644,501.181747,1.392087,29.542145,41.393063,2690.578618,74.867380,120.333174,0.328353,79.873897,51.928030,2618.076425,25.650377,49.278738,3068.204674,22.885021,66.030970,228.517908,343.142387,94.607560,77.311664,0.630526,0.539797,0.246436,0.613019,22.210000,38.617862,40.028030,45.778738,47.445735,41.105813,18.113491,50.000000,3.983450e3
0.006000,0.008927,297.593035,326.870115,0.966679,30.017212,41.206728,2684.378049,74.553788,120.288284,0.328635,79.803531,48.693669,2611.804999,26.120526,51.052460,3058.361943,22.733733,66.127407,226.221253,343.696269,94.593710,77.320691,0.756632,0.647756,0.295723,0.735623,22.210000,37.997805,36.793669,47.552460,47.445735,41.105813,18.113491,50.000000,2.630095e3
0.007000,0.006779,177.534201,238.013228,0.677434,30.094981,40.518353,2678.603925,74.858493,120.220304,0.323434,79.707391,49.971105,2604.874501,24.991821,48.949587,3049.311277,23.033577,66.240109,229.773463,343.412701,94.605038,77.285248,0.882737,0.755716,0.345010,0.858227,22.210000,37.420392,38.071105,45.449587,47.445735,41.105813,18.113491,50.000000,1.722805e3
0.008000,0.005117,135.767419,153.766276,0.421374,30.674710,40.970228,2671.416245,75.203689,120.142955,0.316521,79.611659,50.612817,2597.303239,25.173307,51.301833,3039.865568,22.556923,66.374599,226.939439,343.477863,94.594983,77.303772,1.008842,0.863675,0.394297,0.980831,22.210000,36.701624,38.712817,47.801833,47.445735,41.105813,18.113491,50.000000,1.114558e3
0.009000,0.004946,103.868148,155.401024,0.410408,31.033647,40.844751,2663.667781,75.511670,120.060203,0.312152,79.501505,48.453177,2589.596147,25.360756,47.474185,3030.639166,23.284175,66.459689,225.011979,344.065063,94.576980,77.284701,1.134947,0.971635,0.443584,1.103435,22.210000,35.926778,36.553177,43.974185,47.445735,41.105813,18.113491,50.000000,8.531028e2
0.010000,0.005146,89.618065,131.365755,0.266425,30.655790,40.525348,2656.458407,75.204650,119.976011,0.308545,79.391702,50.340710,2583.161693,24.568944,50.800516,3021.012470,22.218643,66.601145,223.254341,344.149684,94.594468,77.306472,1.261053,1.079594,0.492871,1.226038,22.210000,35.205841,38.440710,47.300516,47.445735,41.105813,18.113491,50.000000,1.542555e3
