t_h,XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),XMV(12),deriv_norm
0.001000,0.131774,2302.733938,2833.934269,6.206901,27.101453,42.188914,2694.604731,71.509525,120.437076,0.327937,80.342188,49.941941,2623.411409,24.327539,50.011281,3089.182593,23.452217,65.977416,228.651956,341.611669,94.599275,77.296984,63.052630,53.979707,24.643558,61.301921,22.210000,39.020473,38.041941,46.511281,47.445735,41.105813,18.113491,50.000000,2.283949e4
0.002000,0.192531,2849.415917,3463.647830,7.303563,27.376728,42.485776,2693.488244,72.307826,120.425593,0.324274,80.337483,52.200822,2622.289294,24.948308,49.270888,3085.132004,23.199046,65.996400,229.341955,342.140568,94.595803,77.283386,63.052630,53.979707,24.643558,61.301921,22.210000,38.908824,40.300822,45.770888,47.445735,41.105813,18.113491,50.000000,8.273122e3
0.003000,0.218787,3151.605574,3885.521601,8.005222,27.777166,41.973021,2691.737229,71.176258,120.431808,0.324916,80.299704,52.531077,2620.577696,25.722363,51.739131,3083.795776,22.908750,66.024910,228.372181,341.849060,94.617044,77.276449,63.052630,53.979707,24.643558,61.301921,22.210000,38.733723,40.631077,48.239131,47.445735,41.105813,18.113491,50.000000,5.276358e3
0.004000,0.232878,3329.835813,4063.611930,8.307205,27.382137,41.484884,2691.123781,72.402360,120.413820,0.326340,80.297394,49.837166,2619.623282,26.349532,49.313179,3083.066140,23.468197,66.050427,231.009053,341.993135,94.593150,77.289729,63.052630,53.979707,24.643558,61.301921,22.210000,38.672378,37.937166,45.813179,47.445735,41.105813,18.113491,50.000000,3.365109e3
0.005000,0.240647,3456.938016,4252.270347,8.824951,27.143722,42.220592,2689.760583,71.408806,120.406856,0.322271,80.254845,51.973466,2618.397596,25.617476,49.316815,3082.483033,22.961603,66.042795,228.438439,341.603427,94.607560,77.311664,63.052630,53.979707,24.643558,61.301921,22.210000,38.536058,40.073466,45.816815,47.445735,41.105813,18.113491,50.000000,2.146169e3
0.006000,0.245493,3555.383406,4336.175584,8.999758,27.159217,42.247793,2688.918048,71.117796,120.395498,0.325485,80.264816,48.786688,2617.865512,26.136754,51.100693,3081.789521,22.815060,66.041631,226.797720,341.873323,94.593710,77.320691,63.052630,53.979707,24.643558,61.301921,22.210000,38.451805,36.886688,47.600693,47.445735,41.105813,18.113491,50.000000,1.368765e3
0.007000,0.248267,3566.484709,4408.735178,9.106734,26.890101,41.741074,2689.262591,71.451401,120.373925,0.324200,80.259349,50.116390,2617.419107,25.051345,49.002095,3082.056625,23.128208,66.046478,231.074779,341.368125,94.605038,77.285248,63.052630,53.979707,24.643558,61.301921,22.210000,38.486259,38.216390,45.502095,47.445735,41.105813,18.113491,50.000000,1.323369e3
0.008000,0.249083,3605.713629,4424.168216,9.110138,27.212666,42.347918,2688.711661,71.831429,120.355827,0.322003,80.261033,50.812894,2616.826627,25.276654,51.353524,3081.954808,22.664349,66.066010,229.013345,341.265273,94.594983,77.303772,63.052630,53.979707,24.643558,61.301921,22.210000,38.431166,38.912894,47.853524,47.445735,41.105813,18.113491,50.000000,7.182698e2
0.009000,0.250048,3622.816634,4486.109206,9.266956,27.377352,42.357513,2687.930495,72.179757,120.344816,0.322953,80.252314,48.708947,2616.401273,25.508859,47.518347,3082.042940,23.407281,66.029635,227.902196,341.718833,94.576980,77.284701,63.052630,53.979707,24.643558,61.301921,22.210000,38.353050,36.808947,44.018347,47.445735,41.105813,18.113491,50.000000,8.528348e2
0.010000,0.250647,3637.164345,4497.268739,9.229292,26.852244,42.157650,2687.882983,71.918205,120.344348,0.325092,80.246065,50.652000,2617.416303,24.760446,50.832647,3081.644750,22.349613,66.045849,226.986258,341.698049,94.594468,77.306472,63.052630,53.979707,24.643558,61.301921,22.210000,38.348298,38.752000,47.332647,47.445735,41.105813,18.113491,50.000000,1.546539e3
